from_stop_id,to_stop_id,transfer_type,min_transfer_time
AG180,AG240,2,300
AG180,AG250,2,300
AG180,AG260,2,300
AG180,AG270,2,300
AG180,AJ320,2,300
AG190,AF210,2,300
AG190,AF230,2,300
AG190,AF240,2,300
AG190,AG200,2,300
AG190,AJ080,2,300
AG200,AF230,2,300
AG200,AF240,2,300
AG200,AG190,2,300
AG200,AG210,2,300
AG200,AG220,2,300
AG200,AG240,2,300
AG200,AJ320,2,300
AG210,AG180,2,300
AG210,AG200,2,300
AG210,AG220,2,300
AG210,AG240,2,300
AG210,AG250,2,300
AG210,AJ320,2,300
AG220,AG180,2,300
AG220,AG200,2,300
AG220,AG210,2,300
AG220,AG240,2,300
AG220,AG250,2,300
AG220,AG260,2,300
AG220,AJ320,2,300
AG240,AG180,2,300
AG240,AG200,2,300
AG240,AG210,2,300
AG240,AG220,2,300
AG240,AG250,2,300
AG240,AG260,2,300
AG240,AG270,2,300
AG240,AJ320,2,300
AG250,AG180,2,300
AG250,AG210,2,300
AG250,AG220,2,300
AG250,AG240,2,300
AG250,AG260,2,300
AG250,AG270,2,300
AG250,AJ320,2,300
AG260,AG180,2,300
AG260,AG220,2,300
AG260,AG240,2,300
AG260,AG250,2,300
AG260,AG270,2,300
AG260,AG280,2,300
AG260,AJ320,2,300
AG270,AG180,2,300
AG270,AG240,2,300
AG270,AG250,2,300
AG270,AG260,2,300
AG270,AG280,2,300
AG270,AJ320,2,300
AG280,AG260,2,300
AG280,AG270,2,300
AG280,AG290,2,300
AG280,AG300,2,300
AG280,AG310,2,300
AG280,AG540,2,300
AG280,AI010,2,300
AG290,AG280,2,300
AG290,AG300,2,300
AG290,AG310,2,300
AG290,AG540,2,300
AG290,AI010,2,300
AG300,AG280,2,300
AG300,AG290,2,300
AG300,AG310,2,300
AG300,AG320,2,300
AG300,AG330,2,300
AG300,AG540,2,300
AG300,AI010,2,300
AG310,AG280,2,300
AG310,AG290,2,300
AG310,AG300,2,300
AG310,AG320,2,300
AG310,AG330,2,300
AG310,AG340,2,300
AG310,AG540,2,300
AG310,AI010,2,300
AG320,AG300,2,300
AG320,AG310,2,300
AG320,AG330,2,300
AG320,AG340,2,300
AG320,AG350,2,300
AG320,AG540,2,300
AG320,AI010,2,300
AG330,AG300,2,300
AG330,AG310,2,300
AG330,AG320,2,300
AG330,AG340,2,300
AG330,AG350,2,300
AG330,AG540,2,300
AG330,AI010,2,300
AG340,AG310,2,300
AG340,AG320,2,300
AG340,AG330,2,300
AG340,AG350,2,300
AG340,AG360,2,300
AG340,AG370,2,300
AG340,AI010,2,300
AG350,AG320,2,300
AG350,AG330,2,300
AG350,AG340,2,300
AG350,AG360,2,300
AG350,AG370,2,300
AG360,AG340,2,300
AG360,AG350,2,300
AG360,AG370,2,300
AG360,AG380,2,300
AG360,AG480,2,300
AG370,AG340,2,300
AG370,AG350,2,300
AG370,AG360,2,300
AG370,AG380,2,300
AG370,AG480,2,300
AG380,AG360,2,300
AG380,AG370,2,300
AG380,AG480,2,300
AG380,AI521,2,300
AG480,AG360,2,300
AG480,AG370,2,300
AG480,AG380,2,300
AG500,AG510,2,300
AG510,AG500,2,300
AG520,AG525,2,300
AG520,RA130,2,300
AG520,RA140,2,300
AG520,RA150,2,300
AG525,AG520,2,300
AG525,RA130,2,300
AG525,RA140,2,300
AG525,RA150,2,300
AG540,AG280,2,300
AG540,AG290,2,300
AG540,AG300,2,300
AG540,AG310,2,300
AG540,AG320,2,300
AG540,AG330,2,300
AG540,AI010,2,300
AG550,AG560,2,300
AG560,AG550,2,300
AG580,AG590,2,300
AG590,AG580,2,300
AG600,AG610,2,300
AG600,RA080,2,300
AG600,RA090,2,300
AG600,RA100,2,300
AG610,AG600,2,300
AG610,RA080,2,300
AG610,RA090,2,300
AG610,RA100,2,300
AG900,AG910,2,300
AG910,AG900,2,300
AG920,AG930,2,300
AG920,AG940,2,300
AG920,AG950,2,300
AG930,AG920,2,300
AG930,AG940,2,300
AG930,AG950,2,300
AG940,AG920,2,300
AG940,AG930,2,300
AG940,AG950,2,300
AG950,AG920,2,300
AG950,AG930,2,300
AG950,AG940,2,300
AH010,RA190,2,300
AH010,RF010,2,300
AH010,RF030,2,300
AH030,AH040,2,300
AH040,AH030,2,300
AH060,AH090,2,300
AH090,AH060,2,300
AH095,AH340,2,300
AH095,AH360,2,300
AH110,AH120,2,300
AH110,AH290,2,300
AH110,AI460,2,300
AH115,AH125,2,300
AH115,AH220,2,300
AH120,AH110,2,300
AH120,AH290,2,300
AH120,AI460,2,300
AH125,AH115,2,300
AH125,AH220,2,300
AH130,AH220,2,300
AH130,AH230,2,300
AH130,AH240,2,300
AH130,AI380,2,300
AH160,AH170,2,300
AH170,AH160,2,300
AH180,AH190,2,300
AH190,AH180,2,300
